Name,Pattern Description,Canopy Model,Size (Ft),
SA-120-H02-CP9-0040,RBL-WHT-SIL-WHT-RBL-RBL-RBL-RBL-RBL,Sabre2,120,
SA-120-H02-CP9-0066,BLK-SIL-MAG-MAG-MAG-MAG-MAG-MAG-MAG,Sabre2,120,
SA-120-H02-CP9-0075,"SIL-WHT-RBL-RBL-RBL-RBL-RBL-WHT-SIL | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,120,
SA-120-H02-CP9-0078,"RED-RED-RED-BLK-WHT-BLK-RED-RED-RED | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,120,
SA-120-H02-CP9-0083,"KGR-YEL-RED-BLK-BLK-BLK-BLK-BLK-BLK | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,120,
SA-135-H02-CP9-0046,RBL-RBL-WHT-RED-WHT-RED-WHT-RED-WHT Stabilizers:WHT,Sabre2,135,
SA-135-H02-CP9-0066,BLK-SIL-MAG-MAG-MAG-MAG-MAG-MAG-MAG,Sabre2,135,
SA-135-H02-CP9-0077,BLK-WHT-TUR-TUR-TUR-TUR-TUR-WHT-BLK,Sabre2,135,
SA-135-H02-CP9-0081,BLK-WHT-BLK-NBL-NBL-NBL-NBL-NBL-NBL,Sabre2,135,
SA-150-CPX-0035,BBY-MAG-LGR-LGR-LGR-LGR-LGR-LGR-LGR,Sabre2,150,
SA-150-H02-CP9-0040,"RBL-WHT-SIL-WHT-RBL-RBL-RBL-RBL-RBL | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,150,
SA-150-H02-CP9-0079,"BLK-WHT-BLK-LEM-LEM-LEM-LEM-LEM-LEM | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,150,
SA-150-RES-0039,"WHT-RBL-WHT-RBL-RBL-RBL-RBL-RBL-RBL |DOM:01/18|FABRIC:EXCEL,LINE:GOOD|$1990.00",Sabre2,150,
SA-150-RES-0041,"WHT-RBL-WHT-RBL-RBL-RBL-RBL-RBL-RBL |DOM:03/18|FABRIC:EXCEL,LINE:VERY GD|$2090.00",Sabre2,150,
SA-150-RES-0044,"WHT-RBL-WHT-RBL-RBL-RBL-RBL-RBL-RBL |DOM:01/18|FABRIC:EXCEL,LINE:VERY GD|$2050.00",Sabre2,150,
SA-170-CPX-0034,RBL-RBL-RBL-RBL-RBL-RBL-RBL-RBL-RBL,Sabre2,170,
SA-170-CPX-0036,RBL-RBL-RBL-RBL-RBL-RBL-RBL-RBL-RBL,Sabre2,170,
SA-170-H02-CP9-0039,RED-WHT-SIL-RED-RED-RED-SIL-WHT-RED,Sabre2,170,
SA-170-H02-CP9-0077,BLK-WHT-TUR-TUR-TUR-TUR-TUR-WHT-BLK,Sabre2,170,
SA-170-H02-CP9-0083,"KGR-YEL-RED-BLK-BLK-BLK-BLK-BLK-BLK | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Sabre2,170,
SB-089-H02-CP9-0098,BLK-WHT-YEL-YEL-YEL-YEL-YEL-WHT-BLK|Tail Ribs BLK,Sabre3,89,
SB-107-H02-CP9-0098,BLK-WHT-YEL-YEL-YEL-YEL-YEL-WHT-BLK|Tail Ribs BLK,Sabre3,107,
SB-120-H02-CP9-0096,BLK-WHT-TUR-TUR-TUR-TUR-TUR-WHT-BLK|Tail Ribs BLK,Sabre3,120,
SB-135-H02-CP9-0097,BLK-WHT-WAT-WAT-WAT-WAT-WAT-WHT-BLK|Tail Ribs BLK,Sabre3,135,
SB-135-H02-CP9-0099,BLK-WHT-LGR-LGR-LGR-LGR-LGR-WHT-BLK|Tail Ribs BLK,Sabre3,135,
SB-150-H02-CP9-0096,BLK-WHT-TUR-TUR-TUR-TUR-TUR-WHT-BLK|Tail Ribs BLK,Sabre3,150,
